:Interfaces
:$Location,$InstanceName,$InstanceTemplateIdentifier,$InterfacePath,$InterfaceIdentifier
Root\PC10,PREACT1_D10,$SequenceGP,Control\SEQCTLGP\Logic,SEQCTLGPName
Root\PC10,PREACT1_D10,$SequenceGP,,NullInterfaceRoleB
Root\PC10\Emergency,HS1001,$DigitalOutputGP,Control,ILCK
Root\PC10\Emergency,HS1001,$DigitalOutputGP,Control,CHOUT
Root\PC10\Emergency,HS1001,$DigitalOutputGP,Control,SPQ
Root\PC10\Emergency,HS1001,$DigitalOutputGP,Control\DigitalOutput,CHOUTwQuality
Root\PC10\Emergency,HS1001,$DigitalOutputGP,Control\DigitalOutput\Logic,RSP
Root\PC10\Emergency,HS1001,$DigitalOutputGP,Control\DigitalOutput\Logic,Name
Root\PC10\Emergency,HS1001,$DigitalOutputGP,Control\DigitalOutput\Logic,SP
Root\PC10\Emergency,HS1001,$DigitalOutputGP,Control\DigitalOutput\DOSignal,BoolVar
Root\PC10\Emergency,HS1001,$DigitalOutputGP,Control\DigitalOutput\DOSignal,DOUTPUTSignalExt
Root\PC10\Emergency,HS1001,$DigitalOutputGP,Control\DigitalOutput\DOSignal,TSDOSignalVar
Root\PC10\Emergency,HS1001,$DigitalOutputGP,Control\Interlock,DisFirstCond
Root\PC10\Emergency,HS1001,$DigitalOutputGP,Control\Interlock\Group1,DisCond
Root\PC10\Emergency,HS1001,$DigitalOutputGP,Control\Interlock\Group1,BypassCond
Root\PC10\Emergency,HS1001,$DigitalOutputGP,Control\Interlock\Group1,ILCKChain
Root\PC10\Emergency,HS1001,$DigitalOutputGP,Control\Interlock\Group1,PosChain
Root\PC10\Emergency,HS1001,$DigitalOutputGP,Control\Interlock\Group1,ILCK
Root\PC10\Emergency,HS1001,$DigitalOutputGP,Control\Interlock\Group1,Name
Root\PC10\Emergency,HS1001,$DigitalOutputGP,Control\Maintenance\Logic,Name
Root\PC10\Emergency,HS1001,$DigitalOutputGP,Control\Maintenance\Logic,RunningHours
Root\PC10\Emergency,HS1001,$DigitalOutputGP,Control\Maintenance\Logic,OperationsNumber
Root\PC10\Emergency,HS1001,$DigitalOutputGP,,NullInterfaceRoleA
Root\PC10\Emergency,HS1001,$DigitalOutputGP,,NullInterfaceRoleB
Root\PC10\Emergency,D10SHUTDOWN,$AlarmSummaryGP,Control\DigitalInput\Logic,WatchDI
